,region,room_availability_bs,price,rating,transaction_count,tipe_kos,room_area,is_discount,region_group,Parkir_Motor,Lemari_Baju,WiFi,Bantal,Dapur,AC,K_Mandi_Dalam,Shower,Kloset_Duduk,Meja,Jendela,R_Jemur,TV,Kulkas,Penjaga_Kos,Kursi,R_Tamu,Parkir_Mobil,Parkir_Sepeda,Cermin,Ventilasi,CCTV,Parkir_Motor_&_Sepeda,Guling,Ember_mandi,K_Mandi_Luar,Jemuran,Dispenser,Wastafel,Air_panas,R_Makan,R_Cuci,R_Santai,Kloset_Jongkok,Termasuk_listrik
598,Depok,0.0,1400000,0.0,0.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1
599,Tangerang,1.0,1300000,5.0,10.0,Kos Campur,9.0,0,Tangerang,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
600,Tangerang,3.0,2070000,4.3,12.0,Kos Campur,9.0,1,Tangerang,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
601,Tangerang,0.0,1760000,4.4,4.0,Kos Campur,9.0,1,Tangerang,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
602,Tangerang,0.0,1650000,0.0,1.0,Kos Campur,9.0,1,Tangerang,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1
603,Tangerang,1.0,1960000,4.0,6.0,Kos Campur,9.0,1,Tangerang,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
604,Tangerang,0.0,1850000,0.0,1.0,Kos Campur,9.0,1,Tangerang,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
605,Bekasi,0.0,1200000,0.0,0.0,Kos Campur,13.5,0,Bekasi,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
606,Depok,0.0,1700000,5.0,11.0,Kos Campur,18.0,1,Depok,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
607,Tangerang,0.0,1050000,0.0,0.0,Kos Campur,12.0,0,Tangerang,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1
608,Jakarta Selatan,0.0,2000000,4.0,8.0,Kos Putri,9.0,1,Jakarta,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
609,Bekasi,2.0,1600000,0.0,8.0,Kos Putra,8.75,0,Bekasi,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1
610,Bogor,1.0,1200000,0.0,1.0,Kos Putra,12.0,0,Bogor,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1
611,Tangerang,3.0,850000,0.0,0.0,Kos Campur,12.0,0,Tangerang,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
612,Tangerang,0.0,1300000,0.0,4.0,Kos Campur,9.0,0,Tangerang,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
613,Tangerang,0.0,1300000,0.0,0.0,Kos Campur,9.0,0,Tangerang,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
614,Jakarta Utara,2.0,2300000,0.0,0.0,Kos Campur,8.5,1,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1
615,Depok,0.0,2500000,0.0,2.0,Kos Campur,20.25,0,Depok,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
