,region,room_availability_bs,price,rating,transaction_count,tipe_kos,room_area,is_discount,region_group,Parkir_Motor,Lemari_Baju,WiFi,Bantal,Dapur,AC,K_Mandi_Dalam,Shower,Kloset_Duduk,Meja,Jendela,R_Jemur,TV,Kulkas,Penjaga_Kos,Kursi,R_Tamu,Parkir_Mobil,Parkir_Sepeda,Cermin,Ventilasi,CCTV,Parkir_Motor_&_Sepeda,Guling,Ember_mandi,K_Mandi_Luar,Jemuran,Dispenser,Wastafel,Air_panas,R_Makan,R_Cuci,R_Santai,Kloset_Jongkok,Termasuk_listrik
0,Bogor,0.0,950000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
1,Depok,0.0,1100000,0.0,0.0,Kos Putra,12.0,0,Depok,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
2,Tangerang Selatan,1.0,1100000,0.0,0.0,Kos Putra,9.0,0,Tangerang,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1
3,Bogor,2.0,700000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1
4,Tangerang Selatan,2.0,1500000,0.0,0.0,Kos Putra,6.0,0,Tangerang,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
5,Tangerang Selatan,2.0,2200000,0.0,0.0,Kos Putra,9.0,0,Tangerang,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
6,Depok,0.0,1350000,0.0,0.0,Kos Putri,16.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
7,Jakarta Barat,1.0,3100000,0.0,0.0,Kos Campur,12.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1
8,Jakarta Utara,0.0,700000,0.0,0.0,Kos Putra,9.0,0,Jakarta,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
9,Jakarta Selatan,0.0,3500000,4.0,22.0,Kos Campur,15.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
10,Jakarta Selatan,0.0,3800000,0.0,13.0,Kos Campur,16.0,1,Jakarta,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
11,Jakarta Selatan,0.0,4000000,3.6,12.0,Kos Campur,27.599999999999998,1,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1
12,Tangerang Selatan,2.0,750000,0.0,1.0,Kos Putra,9.0,0,Tangerang,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
13,Depok,1.0,1400000,0.0,0.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1
14,Jakarta Utara,0.0,3500000,0.0,0.0,Kos Campur,20.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1
15,Jakarta Utara,0.0,2200000,5.0,2.0,Kos Campur,12.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
16,Tangerang Selatan,1.0,850000,0.0,0.0,Kos Putra,10.0,0,Tangerang,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
17,Depok,0.0,1600000,0.0,0.0,Kos Putri,16.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
18,Depok,0.0,700000,0.0,0.0,Kos Campur,12.0,0,Depok,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1
19,Jakarta Utara,3.0,800000,0.0,0.0,Kos Campur,6.0,0,Jakarta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,Bogor,1.0,700000,0.0,1.0,Kos Putra,12.0,0,Bogor,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
21,Jakarta Barat,2.0,2180000,4.6,81.0,Kos Campur,8.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1
22,Jakarta Barat,1.0,880000,0.0,0.0,Kos Putri,12.0,0,Jakarta,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
23,Depok,3.0,800000,3.8,0.0,Kos Putri,9.0,1,Depok,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1
24,Depok,0.0,650000,0.0,9.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
25,Depok,0.0,650000,0.0,9.0,Kos Putri,12.0,0,Depok,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
26,Tangerang,2.0,1300000,0.0,0.0,Kos Putri,12.0,0,Tangerang,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
27,Tangerang Selatan,1.0,1100000,0.0,3.0,Kos Campur,12.0,0,Tangerang,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
28,Bekasi,1.0,1400000,0.0,0.0,Kos Putra,9.0,0,Bekasi,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
29,Bogor,1.0,1300000,0.0,0.0,Kos Campur,16.0,0,Bogor,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1
30,Bogor,1.0,1500000,0.0,0.0,Kos Campur,30.0,0,Bogor,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1
31,Tangerang Selatan,2.0,1800000,5.0,5.0,Kos Putri,14.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1
32,Jakarta Utara,1.0,1600000,0.0,4.0,Kos Putri,12.0,0,Jakarta,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33,Depok,0.0,1250000,0.0,0.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
34,Tangerang Selatan,2.0,1300000,0.0,4.0,Kos Putri,12.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
35,Tangerang Selatan,0.0,950000,0.0,0.0,Kos Putri,6.760000000000001,0,Tangerang,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
36,Jakarta Utara,2.0,1450000,0.0,0.0,Kos Campur,12.0,1,Jakarta,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
37,Tangerang,2.0,1300000,0.0,0.0,Kos Putri,16.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1
38,Bogor,2.0,2500000,0.0,0.0,Kos Putri,18.0,0,Bogor,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
39,Bogor,2.0,1200000,0.0,0.0,Kos Campur,9.0,0,Bogor,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1
40,Tangerang,0.0,1500000,5.0,5.0,Kos Campur,9.0,0,Tangerang,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1
41,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
42,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
43,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
44,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
45,Tangerang,3.0,750000,0.0,2.0,Kos Campur,9.0,0,Tangerang,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Bekasi,3.0,1495000,0.0,5.0,Kos Campur,9.0,0,Bekasi,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
47,Jakarta Timur,0.0,1850000,0.0,0.0,Kos Putri,12.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1
48,Jakarta Timur,0.0,1850000,0.0,0.0,Kos Putri,12.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1
49,Jakarta Timur,0.0,1850000,0.0,0.0,Kos Putri,12.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1
50,Tangerang Selatan,2.0,1100000,0.0,0.0,Kos Campur,12.0,0,Tangerang,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
51,Jakarta Utara,1.0,2100000,0.0,0.0,Kos Campur,12.0,0,Jakarta,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
52,Bogor,1.0,650000,0.0,1.0,Kos Campur,9.0,0,Bogor,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
53,Bogor,1.0,800000,0.0,0.0,Kos Campur,7.5,0,Bogor,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
54,Bogor,1.0,800000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
55,Bogor,1.0,800000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
56,Bogor,2.0,2000000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
57,Bogor,2.0,1500000,0.0,0.0,Kos Campur,20.0,0,Bogor,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
58,Bogor,2.0,1000000,0.0,0.0,Kos Campur,9.0,0,Bogor,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
59,Jakarta Utara,1.0,2200000,3.4,1.0,Kos Campur,16.0,0,Jakarta,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
60,Jakarta Utara,0.0,1500000,0.0,2.0,Kos Campur,9.0,1,Jakarta,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
61,Bogor,0.0,500000,0.0,0.0,Kos Putri,9.0,0,Bogor,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
62,Jakarta Timur,1.0,2200000,0.0,0.0,Kos Putri,13.5,0,Jakarta,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
63,Jakarta Timur,3.0,1500000,0.0,0.0,Kos Putri,9.0,0,Jakarta,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
64,Bekasi,0.0,1150000,5.0,3.0,Kos Campur,11.2,0,Bekasi,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
65,Tangerang,0.0,600000,0.0,0.0,Kos Campur,12.0,0,Tangerang,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
66,Bekasi,0.0,1100000,0.0,0.0,Kos Campur,12.0,0,Bekasi,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
67,Tangerang Selatan,2.0,1800000,4.9,2.0,Kos Campur,10.5,1,Tangerang,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
68,Bogor,3.0,1500000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
69,Bogor,0.0,2500000,0.0,2.0,Kos Campur,12.0,0,Bogor,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
70,Jakarta Utara,0.0,1400000,0.0,0.0,Kos Putri,9.0,0,Jakarta,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1
71,Jakarta Timur,1.0,1500000,0.0,2.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
72,Jakarta Timur,1.0,1500000,0.0,2.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
73,Jakarta Timur,1.0,1500000,0.0,2.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
74,Jakarta Timur,1.0,1500000,0.0,2.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
75,Jakarta Timur,1.0,1500000,0.0,2.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
76,Depok,3.0,1400000,0.0,3.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
77,Depok,1.0,1300000,0.0,0.0,Kos Putra,16.0,0,Depok,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
78,Bekasi,0.0,1250000,0.0,0.0,Kos Putra,17.5,0,Bekasi,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
79,Jakarta Barat,0.0,2600000,0.0,3.0,Kos Campur,16.0,0,Jakarta,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
80,Jakarta Barat,1.0,2400000,4.4,3.0,Kos Campur,12.0,0,Jakarta,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
81,Jakarta Pusat,0.0,1325000,4.3,23.0,Kos Putri,7.919999999999999,1,Jakarta,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
82,Jakarta Timur,0.0,855000,0.0,0.0,Kos Campur,7.290000000000001,1,Jakarta,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
83,Jakarta Pusat,1.0,1235000,4.8,8.0,Kos Putra,17.6,1,Jakarta,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
84,Jakarta Pusat,0.0,1140000,4.8,9.0,Kos Putra,12.0,1,Jakarta,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
85,Jakarta Pusat,0.0,760000,4.8,35.0,Kos Putra,9.0,1,Jakarta,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
86,Jakarta Selatan,0.0,927500,4.8,17.0,Kos Campur,6.4399999999999995,1,Jakarta,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
87,Jakarta Pusat,0.0,1083000,5.0,8.0,Kos Putri,5.670000000000001,1,Jakarta,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
88,Jakarta Pusat,0.0,1037000,4.8,12.0,Kos Putri,4.41,1,Jakarta,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
89,Jakarta Pusat,0.0,975000,4.8,19.0,Kos Putri,5.04,1,Jakarta,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
90,Jakarta Pusat,0.0,925000,4.5,10.0,Kos Putri,4.5,1,Jakarta,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
91,Jakarta Barat,0.0,1725000,4.6,27.0,Kos Campur,14.4,1,Jakarta,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
92,Jakarta Barat,1.0,825000,4.6,80.0,Kos Putra,9.25,1,Jakarta,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
93,Jakarta Timur,1.0,1355000,0.0,0.0,Kos Campur,10.0,1,Jakarta,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
94,Jakarta Timur,1.0,1355000,0.0,0.0,Kos Campur,10.0,1,Jakarta,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,Jakarta Timur,1.0,1355000,0.0,0.0,Kos Campur,10.0,1,Jakarta,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
96,Jakarta Timur,1.0,1355000,0.0,0.0,Kos Campur,10.0,1,Jakarta,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,Jakarta Timur,1.0,1355000,0.0,0.0,Kos Campur,10.0,1,Jakarta,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
98,Tangerang Selatan,1.0,927500,0.0,0.0,Kos Putra,9.0,1,Tangerang,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
99,Tangerang Selatan,0.0,650600,0.0,2.0,Kos Putra,9.0,1,Tangerang,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
100,Jakarta Pusat,0.0,1380000,0.0,1.0,Kos Putri,9.0,1,Jakarta,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
101,Jakarta Pusat,0.0,1196000,0.0,0.0,Kos Putri,10.8,1,Jakarta,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Jakarta Pusat,0.0,1300000,5.0,8.0,Kos Putri,9.0,1,Jakarta,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,Jakarta Pusat,0.0,1100000,4.9,85.0,Kos Putri,9.0,1,Jakarta,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
104,Jakarta Barat,0.0,1279000,0.0,15.0,Kos Campur,9.0,1,Jakarta,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
105,Jakarta Selatan,0.0,2025000,0.0,2.0,Kos Putri,14.0,1,Jakarta,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
106,Jakarta Selatan,0.0,1875000,0.0,2.0,Kos Putri,12.0,1,Jakarta,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
107,Jakarta Selatan,0.0,1681000,5.0,1.0,Kos Putri,8.0,1,Jakarta,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
108,Jakarta Selatan,0.0,1725000,5.0,10.0,Kos Putri,6.8999999999999995,1,Jakarta,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
109,Jakarta Selatan,0.0,1725000,4.6,10.0,Kos Campur,6.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
110,Jakarta Selatan,0.0,1725000,4.8,18.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
111,Jakarta Selatan,1.0,1375000,4.8,128.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1
112,Jakarta Timur,3.0,811440,5.0,8.0,Kos Campur,9.0,1,Jakarta,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
113,Jakarta Selatan,2.0,1225000,4.8,24.0,Kos Putri,12.0,0,Jakarta,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1
114,Depok,0.0,693000,4.3,15.0,Kos Putri,10.5,1,Depok,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
115,Jakarta Pusat,0.0,1525000,4.6,34.0,Kos Putra,5.0,0,Jakarta,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
116,Depok,0.0,970000,0.0,0.0,Kos Putri,9.990000000000002,1,Depok,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
117,Depok,0.0,925000,0.0,0.0,Kos Putri,8.64,1,Depok,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
118,Depok,2.0,880000,0.0,0.0,Kos Putri,8.100000000000001,1,Depok,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
